1-qid,country_feature_rank,female_percent_feature_rank,income_feature_rank,international_feature_rank,international_students_feature_rank,num_students_feature_rank,research_feature_rank,student_staff_ratio_feature_rank,teaching_feature_rank,model
2016,1,9,6,3,10,7,4,8,2,RandomFor
2016,4,7,5,9,8,6,10,2,1,RandomFor
2016,5,1,10,4,6,3,9,7,8,RandomFor
2016,1,9,6,3,10,7,4,8,2,RandomFor
2016,2,4,10,5,1,8,3,6,9,RandomFor
2016,6,2,5,10,1,9,8,3,4,RandomFor
2016,6,3,8,7,4,1,2,9,10,RandomFor
2016,5,9,8,3,4,7,1,6,2,RandomFor
2016,3,8,4,6,2,7,1,9,5,RandomFor
2016,1,9,6,3,10,7,4,8,2,RandomFor
2016,5,10,1,4,9,3,7,8,2,RandomFor
2016,8,1,3,2,10,9,6,7,4,RandomFor
2016,5,9,8,4,6,3,10,2,7,RandomFor
2016,1,6,7,8,2,3,4,10,5,RandomFor
2016,10,3,6,4,1,5,8,7,9,RandomFor
2016,3,8,10,6,4,5,2,9,7,RandomFor
2016,6,2,3,8,10,7,1,5,9,RandomFor
2016,5,6,2,3,9,4,1,10,8,RandomFor
2016,8,4,9,1,5,7,6,3,10,RandomFor
2016,5,4,1,8,6,7,2,10,9,RandomFor
2016,1,9,6,3,10,7,4,8,2,RandomFor
2016,2,6,3,8,10,7,1,4,5,RandomFor
2016,2,3,5,4,7,1,9,8,10,RandomFor
2016,7,8,10,3,9,6,2,5,4,RandomFor
2016,1,9,6,3,10,7,4,8,2,RandomFor
2016,7,1,9,3,6,2,8,5,10,RandomFor
2016,10,8,7,6,5,1,4,9,3,RandomFor
2016,3,9,1,7,4,5,6,10,2,RandomFor
2016,7,5,6,4,8,10,1,3,2,RandomFor
2016,3,1,8,10,6,4,7,5,2,RandomFor
2016,9,3,4,8,5,7,6,2,1,RandomFor
2016,9,5,8,6,7,3,2,10,1,RandomFor
2016,2,1,6,5,10,7,8,3,9,RandomFor
2016,1,9,6,3,10,7,4,8,2,RandomFor
2016,1,6,4,3,5,2,7,9,10,RandomFor
2016,4,9,8,2,6,10,1,3,5,RandomFor
2016,6,7,3,1,5,8,9,2,4,RandomFor
2016,4,8,3,2,10,5,9,1,6,RandomFor
2016,7,6,4,2,10,5,3,1,9,RandomFor
2016,1,9,6,3,10,7,4,8,2,RandomFor
2016,1,3,7,10,9,5,6,2,4,RandomFor
2016,3,9,10,8,1,6,2,7,5,RandomFor
2016,3,1,7,2,5,9,6,10,4,RandomFor
2016,1,8,3,6,10,2,4,5,9,RandomFor
2016,7,4,5,2,3,10,1,9,8,RandomFor
2016,4,3,2,10,9,7,1,5,8,RandomFor
2016,8,2,1,6,4,10,3,9,5,RandomFor
2016,9,5,4,2,3,7,6,8,1,RandomFor
2016,6,9,8,1,7,4,2,10,3,RandomFor
2016,5,1,4,8,6,9,7,2,10,RandomFor
2016,8,6,5,7,4,3,10,2,1,RandomFor
2016,1,9,6,3,10,7,4,8,2,RandomFor
2016,2,9,8,1,3,4,10,6,5,RandomFor
2016,2,7,8,4,5,1,6,3,10,RandomFor
2016,3,4,6,9,8,2,7,10,1,RandomFor
2016,1,4,8,9,3,6,5,10,7,RandomFor
2016,1,2,5,8,6,7,10,9,4,RandomFor
2016,2,7,8,10,4,6,9,3,5,RandomFor
2016,1,9,6,3,10,7,4,8,2,RandomFor
2016,6,5,8,10,3,1,9,4,2,RandomFor
2016,2,8,6,10,9,3,7,1,5,RandomFor
2016,5,8,2,4,6,9,7,3,1,RandomFor
2016,1,9,6,3,10,7,4,8,2,RandomFor
2016,1,9,6,3,10,7,4,8,2,RandomFor
2016,1,2,10,3,5,4,9,6,8,RandomFor
2016,1,9,6,3,10,7,4,8,2,RandomFor
2016,8,10,6,4,7,3,2,9,1,RandomFor
2016,4,8,5,7,6,2,1,3,10,RandomFor
2016,9,10,1,5,6,8,4,7,3,RandomFor
2016,10,2,6,8,7,5,9,3,4,RandomFor
2016,1,3,4,10,8,6,7,5,9,RandomFor
2016,7,4,10,3,6,1,9,2,5,RandomFor
2016,7,2,4,1,10,9,5,6,8,RandomFor
2016,4,5,7,1,3,2,9,6,8,RandomFor
2016,1,9,6,3,10,7,4,8,2,RandomFor
2016,1,9,6,3,10,7,4,8,2,RandomFor
2016,2,10,8,6,1,3,5,9,4,RandomFor
2016,1,9,6,3,10,7,4,8,2,RandomFor
2016,1,6,5,8,7,4,9,2,3,RandomFor
2016,9,1,3,8,7,2,5,6,4,RandomFor
2016,7,3,10,9,1,8,4,5,2,RandomFor
2016,10,4,6,8,2,5,9,1,7,RandomFor
2016,1,9,6,3,10,7,4,8,2,RandomFor
2016,1,9,6,3,10,7,4,8,2,RandomFor
2016,10,7,8,2,6,4,9,1,3,RandomFor
2016,1,9,6,3,10,7,4,8,2,RandomFor
2016,1,8,2,3,4,7,6,10,9,RandomFor
2016,9,5,7,10,1,8,6,3,2,RandomFor
2016,1,6,4,2,5,7,8,10,3,RandomFor
2016,7,9,2,10,1,4,5,6,3,RandomFor
2016,2,7,1,4,3,9,5,6,10,RandomFor
2016,1,9,6,3,10,7,4,8,2,RandomFor
2016,1,10,9,7,3,5,4,6,8,RandomFor
2016,9,1,3,6,10,2,7,8,5,RandomFor
2016,1,6,8,3,7,5,9,10,4,RandomFor
2016,4,5,10,1,2,9,8,6,7,RandomFor
2016,1,9,6,3,10,7,4,8,2,RandomFor
2016,3,8,9,2,7,10,1,4,5,RandomFor
2016,1,9,6,3,10,7,4,8,2,RandomFor
2016,2,1,10,5,8,7,6,4,9,RandomFor
2016,7,8,3,4,9,5,1,6,2,RandomFor
2016,1,9,6,3,10,7,4,8,2,RandomFor
2016,10,5,3,4,6,9,7,2,8,RandomFor
2016,3,5,4,7,8,1,6,10,9,RandomFor
2016,8,4,6,5,3,2,10,7,9,RandomFor
2016,1,9,6,3,10,7,4,8,2,RandomFor
2016,1,5,8,7,9,10,2,6,3,RandomFor
2016,2,7,4,1,8,9,3,6,10,RandomFor
2016,6,7,4,5,9,8,10,2,1,RandomFor
2016,10,7,3,4,6,9,2,8,5,RandomFor
2016,6,2,8,5,4,9,3,10,7,RandomFor
2016,10,2,7,5,9,3,6,1,4,RandomFor
2016,9,3,8,6,4,2,10,1,7,RandomFor
2016,1,9,6,3,10,7,4,8,2,RandomFor
2016,1,9,6,3,10,7,4,8,2,RandomFor
2016,1,9,6,3,10,7,4,8,2,RandomFor
2016,10,1,3,2,5,9,7,4,8,RandomFor
2016,2,9,8,10,5,3,7,1,4,RandomFor
2016,1,4,6,8,9,2,10,7,3,RandomFor
2016,3,2,4,9,1,7,10,8,6,RandomFor
2016,3,1,7,6,8,9,10,5,4,RandomFor
2016,4,1,10,2,3,5,6,9,7,RandomFor
2016,8,7,3,4,1,6,2,9,5,RandomFor
2016,9,6,1,3,10,7,2,4,8,RandomFor
2016,1,10,6,5,4,9,7,8,2,RandomFor
2016,7,10,2,4,8,9,5,3,1,RandomFor
2016,5,10,3,2,6,9,1,8,4,RandomFor
2016,1,9,6,3,10,7,4,8,2,RandomFor
2016,1,9,6,3,10,7,4,8,2,RandomFor
2016,7,10,8,3,4,5,6,1,9,RandomFor
2016,7,5,3,9,10,1,8,6,4,RandomFor
2016,5,3,1,7,8,10,2,6,4,RandomFor
2016,5,9,7,6,8,1,3,10,2,RandomFor
2016,8,2,4,6,3,1,10,5,7,RandomFor
2016,8,10,2,1,9,4,5,7,6,RandomFor
2016,10,3,5,4,8,6,9,1,2,RandomFor
2016,5,2,3,6,1,4,9,10,8,RandomFor
2016,1,9,6,3,10,7,4,8,2,RandomFor
2016,3,6,9,1,4,8,2,10,7,RandomFor
2016,9,6,1,7,4,5,8,2,10,RandomFor
2016,8,9,6,7,1,10,5,2,3,RandomFor
2016,1,9,6,3,10,7,4,8,2,RandomFor
2016,10,1,7,8,2,3,9,5,6,RandomFor
2016,1,9,6,3,10,7,4,8,2,RandomFor
2016,1,2,9,10,7,5,4,6,8,RandomFor
2016,7,4,10,5,1,9,8,6,3,RandomFor
2016,9,2,3,10,7,8,1,6,5,RandomFor
2016,1,9,6,3,10,7,4,8,2,RandomFor
2016,4,1,3,10,9,7,2,5,8,RandomFor
2016,5,1,9,10,3,6,4,7,2,RandomFor
2016,9,8,5,3,7,4,1,10,6,RandomFor
2016,6,10,4,3,8,9,7,5,2,RandomFor
2016,2,8,9,10,4,6,7,5,3,RandomFor
2016,1,9,6,3,10,7,4,8,2,RandomFor
2016,1,9,6,3,10,7,4,8,2,RandomFor
2016,1,9,6,3,10,7,4,8,2,RandomFor
2016,10,2,7,4,5,1,6,8,3,RandomFor
2016,4,10,2,7,6,3,9,8,1,RandomFor
2016,1,9,6,3,10,7,4,8,2,RandomFor
2016,1,10,6,4,5,2,3,8,9,RandomFor
2016,1,4,3,5,8,10,6,2,7,RandomFor
2016,3,4,10,5,9,1,8,6,2,RandomFor
2016,3,8,2,6,4,9,1,10,5,RandomFor
2016,10,1,5,9,4,8,6,7,2,RandomFor
2016,1,9,6,3,10,7,4,8,2,RandomFor
2016,3,5,6,2,4,8,1,7,9,RandomFor
2016,4,10,7,3,6,9,8,5,1,RandomFor
2016,8,1,5,7,3,2,9,4,6,RandomFor
2016,3,5,10,1,2,4,9,6,7,RandomFor
2016,10,8,2,1,6,4,3,9,7,RandomFor
2016,1,9,6,3,10,7,4,8,2,RandomFor
2016,1,9,6,3,10,7,4,8,2,RandomFor
2016,6,9,8,1,4,3,2,10,5,RandomFor
2016,6,2,10,1,5,8,4,7,3,RandomFor
2016,3,5,6,4,8,7,10,2,1,RandomFor
2016,6,10,9,1,5,3,8,4,2,RandomFor
2016,6,2,4,8,9,5,10,3,1,RandomFor
2016,1,9,6,3,10,7,4,8,2,RandomFor
2016,10,6,3,4,8,7,9,1,5,RandomFor
2016,1,9,6,3,10,7,4,8,2,RandomFor
2016,9,7,4,1,10,6,2,3,8,RandomFor
2016,7,5,6,9,3,4,1,10,8,RandomFor
2016,1,9,6,3,10,7,4,8,2,RandomFor
2016,2,4,3,10,7,1,9,6,5,RandomFor
2016,8,3,6,5,9,4,1,7,2,RandomFor
2016,5,6,2,10,8,7,1,9,4,RandomFor
2016,6,9,4,10,1,3,2,8,7,RandomFor
2016,8,5,6,1,9,4,10,3,7,RandomFor
2016,6,7,3,8,9,4,2,5,10,RandomFor
2016,9,4,10,8,6,2,3,1,7,RandomFor
2016,2,5,1,6,3,4,9,8,7,RandomFor
2016,7,5,6,8,3,9,2,10,1,RandomFor
2016,1,3,8,5,7,2,4,6,9,RandomFor
2016,3,4,7,1,8,6,5,2,9,RandomFor
2016,1,9,6,3,10,7,4,8,2,RandomFor
2016,1,9,6,3,10,7,4,8,2,RandomFor
2016,6,8,5,7,4,2,9,3,10,RandomFor
2016,8,1,2,7,4,9,10,3,5,RandomFor
2016,1,9,6,3,10,7,4,8,2,RandomFor
2016,5,2,3,1,4,10,7,9,6,RandomFor
2016,10,1,7,4,6,5,8,3,9,RandomFor
2016,1,8,9,6,5,10,7,2,4,RandomFor
2016,2,5,10,1,8,9,3,4,7,RandomFor
2016,1,2,3,9,7,6,5,8,4,RandomFor
2016,5,10,8,7,6,4,3,9,2,RandomFor
2016,1,9,6,3,10,7,4,8,2,RandomFor
2016,4,9,1,10,6,7,8,5,2,RandomFor
2016,5,2,6,3,10,7,1,9,8,RandomFor
2016,1,9,6,3,10,7,4,8,2,RandomFor
2016,10,3,9,6,8,5,1,4,7,RandomFor
2016,8,6,3,1,9,10,2,5,4,RandomFor
2016,1,9,6,3,10,7,4,8,2,RandomFor
2016,2,6,9,7,1,4,8,5,10,RandomFor
2016,8,6,10,5,4,3,2,1,7,RandomFor
2016,2,10,5,3,7,4,8,6,9,RandomFor
2016,5,6,2,9,7,1,4,8,3,RandomFor
2016,6,4,5,7,8,3,10,9,2,RandomFor
2016,4,10,7,1,5,2,9,3,8,RandomFor
2016,6,4,1,3,10,5,9,8,7,RandomFor
2016,5,8,2,1,6,7,10,3,9,RandomFor
2016,5,1,3,8,9,2,4,6,10,RandomFor
2016,1,7,2,6,8,4,3,5,9,RandomFor
2016,9,2,10,8,7,5,1,6,4,RandomFor
2016,1,9,6,3,10,7,4,8,2,RandomFor
2016,5,8,10,4,2,3,6,9,1,RandomFor
2016,1,8,4,2,7,10,5,6,3,RandomFor
2016,10,6,7,5,9,3,1,4,8,RandomFor
2016,10,4,7,3,5,2,1,8,6,RandomFor
2016,1,2,5,4,8,9,10,6,7,RandomFor
2016,7,5,9,1,3,8,6,4,2,RandomFor
2016,3,1,5,7,9,10,4,8,2,RandomFor
2016,8,7,9,6,1,10,2,4,3,RandomFor
2016,1,3,4,10,5,9,2,7,6,RandomFor
2016,2,1,3,6,8,7,9,10,5,RandomFor
2016,7,8,1,6,10,3,2,4,9,RandomFor
2016,4,3,8,9,5,1,10,7,2,RandomFor
2016,1,9,6,3,10,7,4,8,2,RandomFor
2016,5,8,10,6,7,3,4,1,2,RandomFor
2016,10,8,2,5,1,4,7,3,6,RandomFor
2016,4,7,6,10,8,9,1,3,5,RandomFor
2016,10,5,4,1,2,7,6,8,9,RandomFor
2016,1,8,2,5,6,10,3,9,7,RandomFor
2016,1,9,6,3,10,7,4,8,2,RandomFor
2016,1,5,2,6,4,10,9,7,8,RandomFor
2016,10,5,1,9,2,8,3,4,6,RandomFor
2016,1,9,5,4,2,6,8,10,3,RandomFor
2016,3,4,10,5,6,8,1,2,9,RandomFor
2016,1,9,6,3,10,7,4,8,2,RandomFor
2016,5,9,6,3,8,1,7,4,2,RandomFor
2016,4,3,9,5,6,2,7,8,10,RandomFor
2016,1,9,6,3,10,7,4,8,2,RandomFor
2016,6,7,3,4,2,9,1,10,8,RandomFor
2016,9,10,6,4,1,2,3,8,7,RandomFor
2016,2,6,7,10,1,3,4,9,5,RandomFor
2016,2,3,4,1,6,9,5,7,10,RandomFor
2016,1,9,6,3,10,7,4,8,2,RandomFor
2016,3,7,9,1,2,8,6,10,5,RandomFor
2016,3,9,5,6,4,8,2,7,1,RandomFor
2016,6,10,7,9,3,4,2,5,1,RandomFor
2016,1,9,6,3,10,7,4,8,2,RandomFor
2016,7,9,4,8,5,3,6,10,2,RandomFor
2016,1,9,6,3,10,7,4,8,2,RandomFor
2016,6,10,1,5,8,7,9,2,4,RandomFor
2016,8,1,10,5,9,3,4,2,7,RandomFor
2016,3,8,10,9,7,5,2,4,1,RandomFor
2016,9,2,4,1,3,7,5,10,8,RandomFor
2016,8,5,6,3,9,7,10,2,1,RandomFor
2016,5,10,1,8,7,9,3,2,6,RandomFor
2016,5,1,8,7,2,6,10,9,3,RandomFor
2016,5,2,6,4,9,7,10,1,3,RandomFor
2016,6,8,1,4,7,2,5,3,9,RandomFor
2016,6,3,10,8,5,2,1,4,7,RandomFor
2016,1,9,6,3,10,7,4,8,2,RandomFor
2016,1,9,6,3,10,7,4,8,2,RandomFor
2016,1,2,5,6,9,10,7,3,8,RandomFor
2016,4,6,9,7,1,5,3,2,10,RandomFor
2016,9,3,10,4,7,1,8,6,2,RandomFor
2016,1,9,6,3,10,7,4,8,2,RandomFor
2016,7,6,1,4,2,9,5,10,8,RandomFor
2016,5,1,6,3,7,8,4,9,2,RandomFor
2016,1,9,6,3,10,7,4,8,2,RandomFor
2016,3,6,1,5,9,10,2,7,4,RandomFor
2016,1,9,6,3,10,7,4,8,2,RandomFor
2016,10,7,8,4,5,9,2,1,3,RandomFor
2016,1,10,3,9,4,6,8,5,7,RandomFor
2016,3,2,6,9,8,4,7,5,10,RandomFor
2016,1,9,6,3,10,7,4,8,2,RandomFor
2016,2,4,3,9,6,1,8,7,5,RandomFor
2016,2,3,1,4,5,10,7,6,8,RandomFor
2016,9,2,10,7,6,5,8,3,4,RandomFor
2016,7,1,10,6,8,9,5,4,3,RandomFor
2016,8,7,3,1,9,2,10,6,5,RandomFor
2016,4,9,8,10,5,7,3,1,6,RandomFor
2016,1,9,6,3,10,7,4,8,2,RandomFor
2016,6,3,8,9,4,7,5,10,2,RandomFor
2016,1,10,7,6,3,2,9,8,4,RandomFor
2016,1,9,6,3,10,7,4,8,2,RandomFor
2016,10,7,1,8,3,9,2,5,6,RandomFor
2016,7,8,4,6,10,1,5,9,2,RandomFor
2016,1,9,6,3,10,7,4,8,2,RandomFor
2016,10,7,9,2,4,5,6,8,1,RandomFor
2016,8,3,1,7,2,10,6,4,5,RandomFor
2016,4,6,2,1,3,9,7,10,5,RandomFor
2016,5,7,4,3,6,8,9,1,2,RandomFor
2016,1,9,6,3,10,7,4,8,2,RandomFor
2016,7,4,3,2,10,6,5,8,9,RandomFor
2016,10,6,2,4,9,3,8,5,1,RandomFor
2016,1,9,6,3,10,7,4,8,2,RandomFor
2016,4,10,5,7,6,2,9,8,1,RandomFor
2016,1,9,6,3,10,7,4,8,2,RandomFor
2016,1,9,6,3,10,7,4,8,2,RandomFor
2016,1,9,6,3,10,7,4,8,2,RandomFor
2016,10,8,4,9,1,5,6,3,7,RandomFor
2016,1,9,6,3,10,7,4,8,2,RandomFor
2016,10,1,9,4,3,2,5,6,7,RandomFor
2016,1,9,6,3,10,7,4,8,2,RandomFor
2016,10,9,2,1,8,3,7,4,6,RandomFor
2016,4,2,1,3,6,5,10,8,7,RandomFor
2016,1,9,7,4,5,8,6,3,2,RandomFor
2016,5,6,3,9,7,8,4,1,10,RandomFor
2016,1,9,6,3,10,7,4,8,2,RandomFor
2016,4,7,1,2,5,10,9,3,6,RandomFor
2016,10,9,8,7,3,4,5,2,6,RandomFor
2016,9,1,6,2,7,4,3,8,10,RandomFor
2016,1,9,6,3,10,7,4,8,2,RandomFor
2016,9,3,6,10,1,7,5,4,8,RandomFor
2016,2,9,5,4,3,6,10,7,1,RandomFor
2016,6,7,5,4,2,9,1,10,8,RandomFor
2016,1,3,5,4,6,8,10,7,2,RandomFor
2016,7,4,5,8,9,2,10,6,3,RandomFor
2016,1,8,2,6,5,7,9,3,10,RandomFor
2016,3,9,6,8,7,1,10,4,5,RandomFor
2016,5,4,9,3,2,10,7,8,6,RandomFor
2016,1,9,6,3,10,7,4,8,2,RandomFor
2016,1,5,6,3,7,10,9,4,2,RandomFor
2016,3,4,2,6,1,9,8,10,5,RandomFor
2016,6,8,4,2,10,9,3,7,5,RandomFor
2016,1,8,7,3,4,10,5,6,2,RandomFor
2016,10,2,4,6,9,1,3,7,5,RandomFor
2016,1,9,6,3,10,7,4,8,2,RandomFor
2016,2,6,5,1,4,7,10,8,9,RandomFor
2016,6,2,4,9,3,5,7,1,8,RandomFor
2016,8,4,5,9,10,1,7,2,3,RandomFor
2016,1,9,6,3,10,7,4,8,2,RandomFor
2016,9,4,10,8,3,7,6,2,5,RandomFor
2016,8,5,10,6,9,7,2,3,4,RandomFor
2016,2,5,8,10,4,1,6,9,7,RandomFor
2016,1,4,8,5,9,10,6,2,3,RandomFor
2016,1,9,6,3,10,7,4,8,2,RandomFor
2016,8,1,10,7,2,3,6,9,4,RandomFor
2016,1,9,6,3,10,7,4,8,2,RandomFor
2016,9,3,6,4,5,7,10,1,2,RandomFor
2016,4,6,2,8,9,5,10,3,1,RandomFor
2016,1,9,6,3,10,7,4,8,2,RandomFor
2016,1,9,6,3,10,7,4,8,2,RandomFor
2016,6,7,1,10,3,5,8,2,4,RandomFor
2016,7,4,6,3,8,1,5,9,2,RandomFor
2016,5,4,9,1,2,10,3,6,8,RandomFor
2016,7,3,8,4,1,6,10,9,2,RandomFor
2016,6,9,2,5,4,1,10,8,3,RandomFor
2016,3,6,1,9,10,8,4,5,7,RandomFor
2016,2,3,7,4,10,6,8,5,1,RandomFor
2016,3,9,8,6,10,7,5,2,1,RandomFor
2016,4,1,6,5,8,7,3,9,10,RandomFor
2016,7,9,4,1,10,5,6,8,2,RandomFor
2016,6,3,4,10,8,2,5,1,7,RandomFor
2016,10,1,4,7,6,2,3,9,5,RandomFor
2016,3,7,1,8,10,2,6,5,9,RandomFor
2016,3,8,5,9,10,7,1,2,4,RandomFor
2016,4,7,9,10,5,1,2,3,8,RandomFor
2016,4,5,1,6,7,10,8,3,9,RandomFor
2016,5,2,6,3,10,9,8,1,4,RandomFor
2016,3,1,8,9,4,2,6,10,5,RandomFor
2016,1,9,6,3,10,7,4,8,2,RandomFor
2016,3,1,7,9,10,8,5,6,4,RandomFor
2016,6,9,2,5,1,4,3,8,7,RandomFor
2016,2,9,10,1,3,5,4,8,7,RandomFor
2016,6,5,7,2,9,8,4,10,1,RandomFor
2016,1,9,6,3,10,7,4,8,2,RandomFor
2016,1,9,6,3,10,7,4,8,2,RandomFor
2016,1,9,6,3,10,7,4,8,2,RandomFor
2016,6,5,10,4,2,8,9,1,7,RandomFor
2016,8,3,6,5,2,7,10,1,9,RandomFor
2016,8,1,7,5,6,2,9,3,10,RandomFor
2016,7,6,1,5,3,10,2,9,4,RandomFor
2016,1,9,6,3,10,7,4,8,2,RandomFor
2016,10,1,8,3,9,2,6,5,7,RandomFor
2016,1,9,6,3,10,7,4,8,2,RandomFor
2016,7,6,8,10,2,3,5,4,9,RandomFor
2016,2,5,4,3,9,8,7,6,1,RandomFor
2016,6,2,1,5,9,4,3,7,8,RandomFor
2016,1,9,6,3,10,7,4,8,2,RandomFor
2016,5,3,1,4,8,7,2,9,10,RandomFor
2016,3,2,9,8,10,1,7,4,5,RandomFor
2016,3,5,8,7,6,2,4,10,9,RandomFor
2016,5,9,3,10,7,1,8,4,6,RandomFor
2016,1,9,4,5,10,3,7,2,8,RandomFor
2016,3,7,2,9,10,5,8,6,4,RandomFor
2016,10,6,1,5,7,9,2,8,3,RandomFor
2016,3,7,10,1,5,2,9,8,6,RandomFor
2016,10,7,5,6,9,2,4,1,3,RandomFor
2016,1,9,6,3,10,7,4,8,2,RandomFor
2016,4,5,1,9,2,10,3,7,8,RandomFor
2016,8,1,7,9,4,6,5,2,10,RandomFor
2016,1,9,6,3,10,7,4,8,2,RandomFor
2016,9,1,10,7,4,5,3,8,2,RandomFor
2016,1,9,6,3,10,7,4,8,2,RandomFor
2016,10,5,2,1,7,6,3,9,8,RandomFor
2016,3,5,10,7,9,1,6,4,8,RandomFor
2016,4,10,3,9,2,8,5,1,7,RandomFor
2016,2,3,9,1,6,10,4,7,5,RandomFor
2016,2,6,3,7,5,1,9,10,8,RandomFor
2016,8,9,2,6,7,4,1,10,3,RandomFor
2016,1,9,6,3,10,7,4,8,2,RandomFor
2016,4,9,5,10,1,7,2,8,6,RandomFor
2016,1,9,6,3,10,7,4,8,2,RandomFor
2016,4,8,5,6,10,2,1,3,9,RandomFor
2016,1,9,6,3,10,7,4,8,2,RandomFor
2016,4,5,8,7,6,9,10,2,1,RandomFor
2016,7,8,9,5,6,3,1,10,4,RandomFor
2016,2,1,7,3,9,5,4,8,6,RandomFor
2016,5,9,2,10,7,1,4,6,8,RandomFor
2016,7,1,5,8,6,3,9,2,4,RandomFor
2016,8,5,6,3,10,2,7,1,4,RandomFor
2016,3,10,2,9,7,8,4,1,6,RandomFor
2016,2,8,1,3,7,10,6,9,4,RandomFor
2016,2,8,6,10,4,3,9,5,1,RandomFor
2016,4,6,3,2,1,9,7,5,10,RandomFor
2016,3,1,7,9,6,2,10,8,5,RandomFor
2016,5,2,3,6,7,9,1,4,8,RandomFor
2016,8,9,6,5,2,1,7,10,4,RandomFor
2016,1,2,8,9,10,5,6,7,4,RandomFor
2016,1,9,6,3,10,7,4,8,2,RandomFor
2016,6,2,9,1,3,4,5,7,8,RandomFor
2016,6,4,3,5,1,10,9,7,2,RandomFor
2016,1,9,6,3,10,7,4,8,2,RandomFor
2016,1,9,6,3,10,7,4,8,2,RandomFor
2016,2,1,10,7,3,6,4,9,5,RandomFor
2016,2,8,3,4,7,1,6,9,5,RandomFor
2016,1,2,10,3,4,7,5,6,9,RandomFor
2016,9,6,5,3,1,4,10,8,7,RandomFor
2016,1,9,6,3,10,7,4,8,2,RandomFor
2016,9,1,5,2,3,6,10,7,4,RandomFor
2016,5,1,3,9,6,8,2,4,10,RandomFor
2016,2,6,7,1,4,3,5,9,10,RandomFor
2016,8,10,7,1,2,3,6,5,4,RandomFor
2016,1,5,7,10,4,3,6,9,2,RandomFor
2016,4,3,1,8,10,2,7,6,5,RandomFor
2016,10,7,1,2,9,5,4,6,8,RandomFor
2016,4,8,7,3,1,6,5,10,9,RandomFor
2016,3,8,9,2,6,4,7,5,10,RandomFor
2016,9,7,3,8,5,10,6,1,4,RandomFor
2016,2,7,10,9,8,4,5,6,1,RandomFor
2016,4,10,6,5,8,9,3,2,7,RandomFor
2016,6,4,10,8,1,3,2,5,9,RandomFor
2016,9,4,3,2,6,7,10,1,8,RandomFor
2016,9,10,4,1,8,3,7,6,5,RandomFor
2016,8,5,10,7,1,2,4,9,3,RandomFor
2016,2,9,8,6,7,4,10,5,3,RandomFor
2016,1,9,6,3,10,7,4,8,2,RandomFor
2016,1,9,6,3,10,7,4,8,2,RandomFor
2016,9,10,2,7,8,6,1,4,5,RandomFor
2016,9,2,10,7,5,4,8,1,6,RandomFor
2016,2,6,10,1,8,3,4,9,5,RandomFor
2016,1,9,6,3,10,7,4,8,2,RandomFor
2016,5,1,8,10,9,7,3,4,6,RandomFor
2016,3,4,9,6,2,5,8,1,10,RandomFor
2016,2,5,1,6,9,10,7,3,8,RandomFor
2016,1,9,6,3,10,7,4,8,2,RandomFor
2016,1,9,6,3,10,7,4,8,2,RandomFor
2016,1,9,6,3,10,7,4,8,2,RandomFor
2016,1,9,6,3,10,7,4,8,2,RandomFor
2016,1,4,2,6,9,10,8,3,5,RandomFor
2016,1,9,6,3,10,7,4,8,2,RandomFor
2016,1,4,9,10,5,2,6,8,7,RandomFor
2016,5,1,2,3,7,8,4,10,9,RandomFor
2016,10,3,5,7,4,1,2,6,9,RandomFor
2016,1,9,6,3,10,7,4,8,2,RandomFor
2016,6,4,1,3,9,2,5,7,8,RandomFor
2016,1,9,6,3,10,7,4,8,2,RandomFor
2016,1,9,6,3,10,7,4,8,2,RandomFor
2016,1,9,6,3,10,7,4,8,2,RandomFor
2016,1,9,6,3,10,7,4,8,2,RandomFor
2016,4,6,2,5,8,1,7,9,10,RandomFor
2016,5,3,8,4,1,6,2,7,10,RandomFor
2016,7,10,8,6,9,2,1,3,4,RandomFor
2016,6,7,10,5,2,8,9,4,3,RandomFor
2016,5,7,3,1,10,6,4,8,2,RandomFor
2016,2,5,9,3,6,7,1,10,4,RandomFor
2016,9,6,7,4,3,8,2,5,1,RandomFor
2016,1,9,6,3,10,7,4,8,2,RandomFor
2016,1,9,6,3,10,7,4,8,2,RandomFor
2016,6,5,7,4,9,3,10,1,2,RandomFor
2016,1,9,6,3,10,7,4,8,2,RandomFor
2016,10,2,6,5,9,1,8,7,3,RandomFor
2016,9,3,2,1,6,10,5,4,7,RandomFor
2016,1,9,6,3,10,7,4,8,2,RandomFor
2016,7,5,4,9,2,3,6,1,10,RandomFor
2016,1,9,6,3,10,7,4,8,2,RandomFor
2016,1,4,9,10,2,3,5,8,6,RandomFor
2016,2,1,6,4,8,10,7,3,9,RandomFor
2016,1,9,6,3,10,7,4,8,2,RandomFor
2016,1,4,6,2,10,7,8,9,5,RandomFor
2016,9,3,6,4,5,10,2,1,7,RandomFor
2016,9,2,8,3,5,4,6,7,1,RandomFor
2016,1,9,6,3,10,7,4,8,2,RandomFor
2016,7,10,5,1,8,9,4,3,2,RandomFor
2016,2,10,7,1,4,5,9,6,3,RandomFor
2016,8,3,9,10,1,6,2,5,7,RandomFor
2016,4,2,1,3,10,9,8,7,6,RandomFor
2016,1,7,8,5,6,2,10,4,9,RandomFor
2016,10,5,8,2,1,7,6,4,3,RandomFor
2016,2,4,10,3,8,1,7,5,6,RandomFor
2016,1,9,6,3,10,7,4,8,2,RandomFor
2016,7,10,1,5,8,6,2,9,3,RandomFor
